gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
MMP8,4.208944325145574,8.059365376072888,4.772859208936883,3.603664378144621e-06,4.3947126562739284e-05,3.9832974185645567
SIGLEC1,-3.0976524754561585,5.301754825765474,-4.760777204272419,3.801898266076382e-06,4.526069364376645e-05,3.932521194907454
ESPL1,2.715306661587817,2.2762959179537203,4.745081990979757,4.0751968661537685e-06,4.738601007155544e-05,3.8667106979760932
OAS2,-2.4569191446264567,9.163515783572779,-4.667947217263154,5.718387650663792e-06,6.353764056293102e-05,3.545770535775474
RETN,3.7918023566894035,6.4493500925049965,4.646195328832242,6.287078532428509e-06,6.83378101350925e-05,3.456017582709195
IFI6,-2.426184145685859,10.25695830391457,-4.608840806209777,7.393247681044114e-06,7.865157107493738e-05,3.302661530925614
SCO2,-1.326703290405444,6.526440112602042,-4.558641630272338,9.17860282569194e-06,9.56104461009577e-05,3.098127107810268
MX1,-2.5285389227775132,10.051234687440667,-4.482330666153771,1.2710114024464831e-05,0.00012969504106596767,2.790642351574358
JAK3,1.0568038422940993,8.860943518956635,4.466765798744692,1.3575979128647355e-05,0.00013575979128647355,2.7284389634416
H3N2_NS1,3.260760353440783,2.9280971309923105,4.455833136331661,1.4217767742301302e-05,0.00013938987982648336,2.6848521584935545
TLR7,-2.0079461462586505,3.825541553874298,-4.451188053347618,1.4499191049794682e-05,0.0001394152985557181,2.6663590723272756
DUSP4,2.624037305983228,3.379079675063667,4.432312240276607,1.5698852407122603e-05,0.00014590406837319703,2.5913709280451362
IFI44,-2.57528377170892,9.3126183825308,-4.401452059927583,1.7868176995137736e-05,0.00016243797268307035,2.469328882875147
CCL5,-1.3517780201254024,8.786824160711008,-4.339641534815399,2.311009594380629e-05,0.0002063401423554133,2.226975841077473
H1N1_NS1,2.1837807584261064,1.782504763313841,4.3212285344162575,2.493780638448137e-05,0.00021498108952139113,2.1553213632339654
CASP3,-1.0164797795660898,8.039504623386213,-4.312003356843971,2.5904851541456483e-05,0.0002195326401818346,2.1195152187580915
RBP7,-1.2340998601643942,7.21001104375053,-4.287404757754921,2.8662326063311982e-05,0.00023885271719426652,2.0243461831909313
RPGRIP1,-1.580193392219061,4.056903029884798,-4.264517644490739,3.147883224202832e-05,0.00025802321509859277,1.9362003799067855
IL13,2.162894686219247,1.2610568794916273,4.226095670911145,3.681237566097615e-05,0.0002921617115950488,1.7890987321547156
CEACAM1,1.9509569349400664,7.986598265017791,4.197079663787213,4.140246571965834e-05,0.0003234567634348308,1.6787375408091636
DDX58,-1.755219011886663,8.09699564111106,-4.162402602764889,4.760721253018629e-05,0.00036173952949355884,1.5476712658628502
CMPK2,-2.7665674554342807,8.170298971975255,-4.161658566731309,4.7749617893149765e-05,0.00036173952949355884,1.5448689788066714
KLRC1,-1.3381558927437145,5.388753236216768,-4.144657734994173,5.111661267007258e-05,0.00036721103350821383,1.4809516618292422
LIPF,1.254196285762763,0.32710535946336355,4.144415288848337,5.1166230718716326e-05,0.00036721103350821383,1.480041720809921
EVI2A,-1.4317011747712343,9.441803843512917,-4.143777782379814,5.129691983714337e-05,0.00036721103350821383,1.4776492635110552
TMEM51,-1.4277348318588232,4.0638352497026204,-4.139683083380605,5.214396675816636e-05,0.00036721103350821383,1.4622898302433223
RSAD2,-3.291229924581328,9.331128343754688,-4.030126806026699,8.045659820815203e-05,0.0005363773213876802,1.056053056180943
DEFB114,1.7733794714462128,1.0532744478073046,3.997624317435748,9.135150922356463e-05,0.000600996771207662,0.9372924770708497
LTF,2.42728021012056,7.61087061654848,3.946812863660937,0.00011124171885982718,0.0007223488237651115,0.7532590600744031
CCL2,2.058216458598336,3.1107537173470607,3.936698256421061,0.00011566442739500401,0.0007348218981355865,0.7168627218709291
EBI3,1.7758103350333498,2.532011820281909,3.932631041169739,0.00011748955160527521,0.0007348218981355865,0.7022495836011382
FURIN,1.0801035079091235,6.8418602110029045,3.9324498261857492,0.00011757150370169384,0.0007348218981355865,0.701598792339829
